"","id","experiment_id","channel_id","time","od_led","od_value","od_raw","od_repeats","intensity","flash","background","temperature","batchtime_h","od_corr"
"1",1,1,1,"2024-01-16 15:45:00",680,0,-0.0139830755069852,2,0,3097,4,21.1242923736572,0,NA
"2",2,1,2,"2024-01-16 15:45:00",680,0,-0.0150260636582971,2,0,3120,3,21.1242923736572,0,NA
"3",3,1,3,"2024-01-16 15:45:00",680,0,-0.0140450317412615,2,0,3114,3,21.1242923736572,0,NA
"4",4,1,4,"2024-01-16 15:45:00",680,0,-0.0112026715651155,2,0,3066,3,21.1242923736572,0,NA
"5",5,1,5,"2024-01-16 15:45:00",680,0,-0.00802943389862776,2,0,3061,4,21.1242923736572,0,NA
"6",6,1,6,"2024-01-16 15:45:00",680,0,-0.00788217410445213,2,0,3062,4,21.1242923736572,0,NA
"7",7,1,7,"2024-01-16 15:45:00",680,0,-0.00919173657894135,2,0,3060,4,21.1242923736572,0,NA
"8",8,1,8,"2024-01-16 15:45:00",680,0,-0.0101988986134529,2,0,3063,4,21.1261100769043,0,NA
"9",9,1,1,"2024-01-16 15:45:00",720,0,-0.0243172887712717,2,0,3181,4,21.1242923736572,0,NA
"10",10,1,2,"2024-01-16 15:45:00",720,0,-0.0236255768686533,2,0,3176,3,21.1242923736572,0,NA
"11",11,1,3,"2024-01-16 15:45:00",720,0,-0.0210727509111166,2,0,3170,3,21.1242923736572,0,NA
"12",12,1,4,"2024-01-16 15:45:00",720,0,-0.017077624797821,2,0,3141,3,21.1242923736572,0,NA
"13",13,1,5,"2024-01-16 15:45:00",720,0,-0.0150042558088899,2,0,3096,4,21.1242923736572,0,NA
"14",14,1,6,"2024-01-16 15:45:00",720,0,-0.0127008240669966,2,0,3092,4,21.1242923736572,0,NA
"15",15,1,7,"2024-01-16 15:45:00",720,0,-0.0167548600584269,2,0,3122,4,21.1261100769043,0,NA
"16",16,1,8,"2024-01-16 15:45:00",720,0,-0.0151247745379806,2,0,3101,4,21.1261100769043,0,NA
"17",17,1,1,"2024-01-16 16:00:00",680,0,-0.0118717737495899,2,0,3082,4,21.137020111084,0.25,NA
"18",18,1,2,"2024-01-16 16:00:00",680,0,-0.0136305084452033,2,0,3110,3,21.137020111084,0.25,NA
"19",19,1,3,"2024-01-16 16:00:00",680,0,-0.0130667584016919,2,0,3108,4,21.137020111084,0.25,NA
"20",20,1,4,"2024-01-16 16:00:00",680,0,-0.010635151527822,2,0,3062,3,21.137020111084,0.25,NA
"21",21,1,5,"2024-01-16 16:00:00",680,0,-0.00689142849296331,2,0,3053,4,21.137020111084,0.25,NA
"22",22,1,6,"2024-01-16 16:00:00",680,0,-0.00702919391915202,2,0,3056,4,21.137020111084,0.25,NA
"23",23,1,7,"2024-01-16 16:00:00",680,0,-0.00819585006684065,2,0,3053,4,21.137020111084,0.25,NA
"24",24,1,8,"2024-01-16 16:00:00",680,0,-0.00620536459609866,2,0,3035,4,21.137020111084,0.25,NA
"25",25,1,1,"2024-01-16 16:00:00",720,0,-0.022810997441411,2,0,3170,4,21.137020111084,0.25,NA
"26",26,1,2,"2024-01-16 16:00:00",720,0,-0.0215676408261061,2,0,3161,3,21.137020111084,0.25,NA
"27",27,1,3,"2024-01-16 16:00:00",720,0,-0.019836813211441,2,0,3161,3,21.137020111084,0.25,NA
"28",28,1,4,"2024-01-16 16:00:00",720,0,-0.016246423125267,2,0,3135,3,21.137020111084,0.25,NA
"29",29,1,5,"2024-01-16 16:00:00",720,0,-0.0140199214220047,2,0,3089,4,21.137020111084,0.25,NA
"30",30,1,6,"2024-01-16 16:00:00",720,0,-0.0122787216678262,2,0,3089,4,21.137020111084,0.25,NA
"31",31,1,7,"2024-01-16 16:00:00",720,0,-0.0154994614422321,2,0,3113,4,21.137020111084,0.25,NA
"32",32,1,8,"2024-01-16 16:00:00",720,0,-0.0142826102674007,2,0,3095,4,21.137020111084,0.25,NA
"33",33,1,1,"2024-01-16 16:15:00",680,0,-0.0108829801902175,2,0,3072,1,21.1588249206543,0.5,NA
"34",34,1,2,"2024-01-16 16:15:00",680,0,-0.0129310451447964,2,0,3103,1,21.1588249206543,0.5,NA
"35",35,1,3,"2024-01-16 16:15:00",680,0,-0.011945971287787,2,0,3097,1,21.1588249206543,0.5,NA
"36",36,1,4,"2024-01-16 16:15:00",680,0,-0.00964019261300564,2,0,3053,1,21.1588249206543,0.5,NA
"37",37,1,5,"2024-01-16 16:15:00",680,0,-0.00589320855215192,2,0,3043,1,21.1588249206543,0.5,NA
"38",38,1,6,"2024-01-16 16:15:00",680,0,-0.00574660114943981,2,0,3044,1,21.1588249206543,0.5,NA
"39",39,1,7,"2024-01-16 16:15:00",680,0,-0.00719762267544866,2,0,3043,1,21.1588249206543,0.5,NA
"40",40,1,8,"2024-01-16 16:15:00",680,0,-0.0084918849170208,2,0,3048,1,21.1588249206543,0.5,NA
"41",41,1,1,"2024-01-16 16:15:00",720,0,-0.0215746350586414,2,0,3158,1,21.1588249206543,0.5,NA
"42",42,1,2,"2024-01-16 16:15:00",720,0,-0.0207417383790016,2,0,3153,1,21.1588249206543,0.5,NA
"43",43,1,3,"2024-01-16 16:15:00",720,0,-0.0196992922574282,2,0,3158,1,21.1588249206543,0.5,NA
"44",44,1,4,"2024-01-16 16:15:00",720,0,-0.0151357240974903,2,0,3125,1,21.1588249206543,0.5,NA
"45",45,1,5,"2024-01-16 16:15:00",720,0,-0.01260990742594,2,0,3076,1,21.1588249206543,0.5,NA
"46",46,1,6,"2024-01-16 16:15:00",720,0,-0.0115742543712258,2,0,3081,1,21.1588249206543,0.5,NA
